Two_P,Two_PP,Two_PA,Three_P,Three_PP,Three_PA,AST,Age,BLK,DRB,FG,FGP,FGA,FT,FTP,FTA,G,GS,MP,ORB,PF,PTS,STL,TOV,TRB,eFGP,place,name,team,team_abbr,year
40,0.588,68,0,0.0,4,26,23,13,72,40,0.556,72,25,0.714,35,31,4,321,30,31,105,6,13,102,0.556,Chicago,Cristiano Felício,Bulls,CHI,2016
12,0.343,35,1,0.2,5,6,25,3,24,13,0.325,40,7,0.875,8,18,2,103,4,19,34,2,4,28,0.338,Chicago,Cameron Bairstow,Bulls,CHI,2016
302,0.467,647,108,0.362,298,201,26,23,313,410,0.434,945,203,0.749,271,80,80,2856,91,170,1131,67,140,404,0.491,Detroit,Marcus Morris,Pistons,DET,2016
289,0.489,591,114,0.309,369,138,22,17,212,403,0.42,960,185,0.811,228,76,76,2789,70,167,1105,110,105,282,0.479,Detroit,Kentavious Caldwell-Pope,Pistons,DET,2016
550,0.522,1054,2,0.333,6,67,22,112,803,552,0.521,1060,208,0.355,586,81,81,2666,395,245,1314,119,155,1198,0.522,Detroit,Andre Drummond,Pistons,DET,2016
422,0.464,910,118,0.353,334,492,25,11,195,540,0.434,1244,291,0.864,337,79,79,2424,58,187,1489,59,223,253,0.482,Detroit,Reggie Jackson,Pistons,DET,2016
162,0.41,395,63,0.307,205,118,19,12,248,225,0.375,600,80,0.784,102,73,6,1687,58,178,593,55,114,306,0.428,Detroit,Stanley Johnson,Pistons,DET,2016
138,0.471,293,78,0.363,215,55,28,27,183,216,0.425,508,79,0.725,109,52,52,1434,99,120,589,38,59,282,0.502,Detroit,Ersan İlyasova,Pistons,DET,2016
30,0.5,60,98,0.36,272,52,30,16,190,128,0.386,332,29,0.617,47,72,5,1341,39,86,383,26,28,229,0.533,Detroit,Anthony Tolliver,Pistons,DET,2016
194,0.508,382,0,0.0,2,51,29,52,244,194,0.505,384,126,0.764,165,81,1,1233,140,151,514,21,67,384,0.505,Detroit,Aron Baynes,Pistons,DET,2016
41,0.461,89,52,0.344,151,200,35,5,80,93,0.388,240,16,0.8,20,58,2,986,9,70,254,24,81,89,0.496,Detroit,Steve Blake,Pistons,DET,2016
133,0.512,260,33,0.375,88,70,23,12,143,166,0.477,348,82,0.911,90,27,25,903,25,62,447,18,30,168,0.524,Detroit,Tobias Harris,Pistons,DET,2016
21,0.467,45,22,0.415,53,27,24,2,54,43,0.439,98,14,0.933,15,37,0,429,14,29,122,10,8,68,0.551,Detroit,Reggie Bullock,Pistons,DET,2016
29,0.439,66,24,0.312,77,70,26,2,41,53,0.371,143,27,0.711,38,23,1,416,5,24,157,11,22,46,0.455,Detroit,Brandon Jennings,Pistons,DET,2016
33,0.407,81,19,0.38,50,27,22,1,40,52,0.397,131,29,0.725,40,38,2,383,5,28,152,9,19,45,0.469,Detroit,Darrun Hilliard,Pistons,DET,2016
18,0.409,44,1,0.1,10,22,22,0,13,19,0.352,54,19,0.576,33,12,0,159,4,20,58,3,7,17,0.361,Detroit,Spencer Dinwiddie,Pistons,DET,2016
6,0.6,10,0,0.0,0,1,33,12,13,6,0.6,10,6,0.75,8,19,0,96,8,15,18,2,2,21,0.6,Detroit,Joel Anthony,Pistons,DET,2016
3,0.273,11,4,0.444,9,3,28,0,4,7,0.35,20,4,1.0,4,3,0,43,1,2,22,0,1,5,0.45,Detroit,Jodie Meeks,Pistons,DET,2016
0,0.0,1,4,0.444,9,0,26,0,1,4,0.4,10,1,0.5,2,5,0,35,0,3,13,1,2,1,0.6,Detroit,Justin Harper,Pistons,DET,2016
650,0.573,1134,87,0.309,282,514,31,49,454,737,0.52,1416,359,0.731,491,76,76,2709,111,143,1920,104,249,565,0.551,Cleveland,LeBron James,Cavaliers,CLE,2016
251,0.467,538,158,0.36,439,186,27,41,613,409,0.419,977,258,0.822,314,77,77,2424,149,159,1234,58,142,762,0.499,Cleveland,Kevin Love,Cavaliers,CLE,2016
149,0.438,340,204,0.4,510,130,30,21,174,353,0.415,850,45,0.634,71,77,77,2362,43,204,955,81,59,217,0.535,Cleveland,J.R. Smith,Cavaliers,CLE,2016
247,0.588,420,0,0.0,0,62,24,51,470,247,0.588,420,149,0.616,242,82,34,2269,268,202,643,38,61,738,0.588,Cleveland,Tristan Thompson,Cavaliers,CLE,2016
109,0.401,272,98,0.41,239,337,25,9,129,207,0.405,511,57,0.864,66,76,14,1867,33,178,569,44,116,162,0.501,Cleveland,Matthew Dellavedova,Cavaliers,CLE,2016
310,0.502,617,84,0.321,262,249,23,18,113,394,0.448,879,169,0.885,191,53,53,1667,44,107,1041,56,124,157,0.496,Cleveland,Kyrie Irving,Cavaliers,CLE,2016
77,0.554,139,66,0.382,173,59,35,14,113,143,0.458,312,58,0.667,87,74,5,1326,15,129,410,33,43,128,0.564,Cleveland,Richard Jefferson,Cavaliers,CLE,2016
202,0.574,352,1,0.143,7,33,29,57,227,203,0.565,359,68,0.716,95,76,48,1326,110,159,475,22,71,337,0.567,Cleveland,Timofey Mozgov,Cavaliers,CLE,2016
71,0.447,159,43,0.295,146,92,25,19,171,114,0.374,305,40,0.784,51,54,5,1316,32,119,311,54,57,203,0.444,Cleveland,Iman Shumpert,Cavaliers,CLE,2016
96,0.48,200,36,0.353,102,98,33,5,66,132,0.437,302,38,0.905,42,41,14,748,6,60,338,14,57,72,0.497,Cleveland,Mo Williams,Cavaliers,CLE,2016
17,0.447,38,41,0.394,104,14,35,10,42,58,0.408,142,21,0.808,26,48,0,463,8,50,178,11,13,50,0.553,Cleveland,James Jones,Cavaliers,CLE,2016
28,0.596,47,43,0.377,114,26,32,8,81,71,0.441,161,11,0.786,14,26,3,446,12,56,196,8,13,93,0.575,Cleveland,Channing Frye,Cavaliers,CLE,2016
22,0.373,59,10,0.313,32,19,24,2,26,32,0.352,91,30,0.625,48,40,3,355,3,37,104,12,18,29,0.407,Cleveland,Jared Cunningham,Cavaliers,CLE,2016
32,0.427,75,0,0.0,1,20,33,5,67,32,0.421,76,16,0.762,21,31,0,310,24,35,80,11,16,91,0.421,Cleveland,Anderson Varejão,Cavaliers,CLE,2016
16,0.39,41,7,0.636,11,15,24,1,10,23,0.442,52,9,0.692,13,15,1,113,2,10,62,0,9,12,0.51,Cleveland,Jordan McRae,Cavaliers,CLE,2016
9,0.529,17,0,0.0,0,3,30,5,14,9,0.529,17,5,0.455,11,25,0,95,12,11,23,4,7,26,0.529,Cleveland,Sasha Kaun,Cavaliers,CLE,2016
5,0.417,12,1,0.5,2,2,35,2,4,6,0.429,14,0,0.0,0,1,0,42,1,6,13,1,0,5,0.464,Cleveland,Dahntay Jones,Cavaliers,CLE,2016
0,0.0,0,1,0.25,4,2,24,0,3,1,0.25,4,0,0.0,0,5,0,15,0,1,3,0,1,3,0.375,Cleveland,Joe Harris,Cavaliers,CLE,2016
251,0.513,489,88,0.344,256,140,30,29,335,339,0.455,745,145,0.755,192,74,73,2394,108,122,911,74,81,443,0.514,Miami,Luol Deng,Heat,MIA,2016
353,0.527,670,64,0.312,205,419,29,17,223,417,0.477,875,120,0.727,165,72,72,2363,54,188,1018,71,185,277,0.513,Miami,Goran Dragić,Heat,MIA,2016
533,0.468,1139,7,0.159,44,344,34,42,220,540,0.456,1183,322,0.793,406,74,73,2258,82,116,1409,79,203,302,0.459,Miami,Dwyane Wade,Heat,MIA,2016
163,0.471,346,32,0.276,116,117,19,26,322,195,0.422,462,80,0.684,117,78,8,2232,81,184,502,68,95,403,0.457,Miami,Justise Winslow,Heat,MIA,2016
413,0.606,682,0,0.0,0,30,26,269,627,413,0.606,682,214,0.65,329,73,43,2125,238,201,1040,44,137,865,0.606,Miami,Hassan Whiteside,Heat,MIA,2016
277,0.508,545,81,0.365,222,128,31,34,342,358,0.467,767,213,0.795,268,53,53,1778,48,101,1010,36,78,390,0.52,Miami,Chris Bosh,Heat,MIA,2016
146,0.446,327,84,0.323,260,56,30,19,138,230,0.392,587,72,0.783,92,69,14,1557,25,123,616,38,46,163,0.463,Miami,Gerald Green,Heat,MIA,2016
70,0.446,157,53,0.461,115,73,22,25,86,123,0.452,272,42,0.667,63,52,2,1107,21,107,341,36,35,107,0.55,Miami,Josh Richardson,Heat,MIA,2016
91,0.529,172,27,0.38,71,79,23,14,81,118,0.486,243,51,0.797,64,36,5,863,28,66,314,24,47,109,0.541,Miami,Tyler Johnson,Heat,MIA,2016
95,0.569,167,35,0.417,84,86,34,2,53,130,0.518,251,26,0.765,34,24,24,769,15,46,321,21,43,68,0.588,Miami,Joe Johnson,Heat,MIA,2016
125,0.566,221,0,0.0,0,27,33,41,157,125,0.566,221,50,0.746,67,52,36,762,65,92,300,18,47,222,0.566,Miami,Amar'e Stoudemire,Heat,MIA,2016
43,0.434,99,12,0.245,49,81,28,7,83,55,0.372,148,28,0.7,40,42,1,595,22,68,150,18,30,105,0.412,Miami,Josh McRoberts,Heat,MIA,2016
55,0.462,119,11,0.333,33,90,33,0,57,66,0.434,152,15,0.882,17,36,5,587,6,40,158,11,42,63,0.47,Miami,Beno Udrih,Heat,MIA,2016
22,0.423,52,1,0.111,9,14,35,2,65,23,0.377,61,12,0.75,16,37,0,260,10,25,59,5,5,75,0.385,Miami,Udonis Haslem,Heat,MIA,2016
9,0.429,21,1,0.091,11,19,29,1,13,10,0.313,32,12,0.923,13,6,0,120,1,16,33,8,9,14,0.328,Miami,Mario Chalmers,Heat,MIA,2016
2,0.4,5,2,0.4,5,3,37,3,6,4,0.4,10,3,0.75,4,7,1,36,3,4,13,1,2,9,0.5,Miami,Chris Andersen,Heat,MIA,2016
3,0.6,5,0,0.0,0,1,22,0,2,3,0.6,5,1,0.5,2,5,0,14,0,1,7,1,0,2,0.6,Miami,Jarnell Stokes,Heat,MIA,2016
0,0.0,0,0,0.0,0,1,25,0,0,0,0.0,0,0,0.0,0,3,0,7,0,1,0,0,0,0,0.0,Miami,James Ennis,Heat,MIA,2016
1,1.0,1,0,0.0,0,1,23,0,1,1,1.0,1,0,0.0,0,1,0,3,0,1,2,0,0,1,1.0,Miami,Briante Weber,Heat,MIA,2016
273,0.506,539,156,0.4,390,213,23,2,192,429,0.462,929,199,0.836,238,79,71,2566,33,214,1213,96,133,225,0.546,Orlando,Evan Fournier,Magic,ORL,2016
327,0.475,688,98,0.348,282,282,23,54,297,425,0.438,970,205,0.83,247,72,52,2379,48,174,1153,116,153,345,0.489,Orlando,Victor Oladipo,Magic,ORL,2016
288,0.451,638,30,0.326,92,468,21,20,184,318,0.436,730,112,0.589,190,73,69,2145,77,159,778,89,177,261,0.456,Orlando,Elfrid Payton,Magic,ORL,2016
531,0.512,1037,2,0.222,9,179,25,70,402,533,0.51,1046,113,0.753,150,65,60,2037,174,173,1181,53,123,576,0.511,Orlando,Nikola Vučević,Magic,ORL,2016
232,0.531,437,42,0.296,142,128,20,55,353,274,0.473,579,129,0.668,193,78,37,1863,154,153,719,59,66,507,0.509,Orlando,Aaron Gordon,Magic,ORL,2016
204,0.523,390,47,0.311,151,99,23,28,271,251,0.464,541,120,0.784,153,49,49,1610,71,91,669,47,78,342,0.507,Orlando,Tobias Harris,Magic,ORL,2016
114,0.504,226,67,0.349,192,109,20,17,148,181,0.433,418,49,0.907,54,79,9,1413,28,124,478,39,97,176,0.513,Orlando,Mario Hezonja,Magic,ORL,2016
240,0.493,487,4,0.25,16,62,29,65,166,244,0.485,503,54,0.806,67,76,2,1181,53,163,546,33,57,219,0.489,Orlando,Jason Smith,Magic,ORL,2016
105,0.536,196,41,0.36,114,25,26,22,167,146,0.471,310,51,0.785,65,56,0,823,34,69,384,10,41,201,0.537,Orlando,Andrew Nicholson,Magic,ORL,2016
33,0.508,65,48,0.397,121,45,32,20,118,81,0.435,186,19,0.905,21,44,29,754,23,71,229,21,30,141,0.565,Orlando,Channing Frye,Magic,ORL,2016
99,0.559,177,0,0.0,0,13,26,46,161,99,0.559,177,57,0.75,76,58,20,705,67,109,255,22,32,228,0.559,Orlando,Dewayne Dedmon,Magic,ORL,2016
33,0.371,89,14,0.292,48,88,31,5,56,47,0.343,137,34,0.872,39,33,2,656,10,49,142,19,25,66,0.394,Orlando,C.J. Watson,Magic,ORL,2016
34,0.351,97,34,0.327,104,97,24,1,46,68,0.338,201,33,0.733,45,55,0,600,9,38,203,23,46,55,0.423,Orlando,Shabazz Napier,Magic,ORL,2016
32,0.386,83,27,0.346,78,100,26,5,39,59,0.366,161,30,0.75,40,25,6,452,11,33,175,18,35,50,0.45,Orlando,Brandon Jennings,Magic,ORL,2016
46,0.422,109,18,0.409,44,12,28,6,76,64,0.418,153,32,0.711,45,22,4,447,45,51,178,14,12,121,0.477,Orlando,Ersan İlyasova,Magic,ORL,2016
13,0.333,39,8,0.25,32,12,23,1,32,21,0.296,71,10,0.417,24,28,0,249,6,25,60,13,7,38,0.352,Orlando,Devyn Marble,Magic,ORL,2016
2,0.4,5,0,0.0,3,1,23,0,1,2,0.25,8,2,1.0,2,5,0,27,0,5,6,1,3,1,0.25,Orlando,Keith Appling,Magic,ORL,2016
457,0.448,1021,115,0.351,328,789,25,59,337,572,0.424,1349,272,0.791,344,77,77,2784,42,159,1531,145,318,379,0.467,Washington,John Wall,Wizards,WAS,2016
241,0.536,450,98,0.367,267,120,22,32,294,339,0.473,717,95,0.754,126,75,73,2276,97,163,871,105,70,391,0.541,Washington,Otto Porter,Wizards,WAS,2016
433,0.567,763,0,0.0,1,106,31,96,519,433,0.567,764,146,0.705,207,75,74,2256,222,193,1012,47,121,741,0.567,Washington,Marcin Gortat,Wizards,WAS,2016
133,0.534,249,100,0.42,238,170,30,18,232,233,0.478,487,72,0.735,98,81,41,2098,54,190,638,75,80,286,0.581,Washington,Jared Dudley,Wizards,WAS,2016
112,0.453,247,89,0.345,258,140,29,18,176,201,0.398,505,91,0.728,125,80,43,1951,36,195,582,69,64,212,0.486,Washington,Garrett Temple,Wizards,WAS,2016
254,0.481,528,105,0.387,271,162,22,11,147,359,0.449,799,135,0.767,176,55,35,1708,41,117,958,54,112,188,0.515,Washington,Bradley Beal,Wizards,WAS,2016
244,0.507,481,36,0.324,111,239,29,5,178,280,0.473,592,214,0.756,283,82,5,1667,25,102,810,46,115,203,0.503,Washington,Ramon Sessions,Wizards,WAS,2016
209,0.549,381,0,0.0,3,97,33,26,207,209,0.544,384,107,0.578,185,57,11,1094,52,156,525,54,76,259,0.544,Washington,Nenê Hilário,Wizards,WAS,2016
110,0.489,225,41,0.41,100,47,31,1,72,151,0.465,325,47,0.855,55,40,2,807,11,55,390,20,29,83,0.528,Washington,Gary Neal,Wizards,WAS,2016
109,0.524,208,25,0.316,79,37,26,17,128,134,0.467,287,42,0.764,55,27,21,712,30,80,335,25,45,158,0.51,Washington,Markieff Morris,Wizards,WAS,2016
65,0.492,132,25,0.316,79,13,20,7,108,90,0.427,211,31,0.633,49,63,9,671,25,100,236,22,34,133,0.486,Washington,Kelly Oubre,Wizards,WAS,2016
41,0.451,91,23,0.343,67,16,30,14,89,64,0.405,158,29,0.935,31,28,14,466,26,42,180,3,20,115,0.478,Washington,Kris Humphries,Wizards,WAS,2016
26,0.419,62,7,0.171,41,13,34,11,57,33,0.32,103,9,0.643,14,30,0,305,28,40,82,8,13,85,0.354,Washington,Drew Gooden,Wizards,WAS,2016
24,0.453,53,18,0.333,54,19,28,1,28,42,0.393,107,16,0.762,21,14,2,224,7,17,118,13,11,35,0.477,Washington,Marcus Thornton,Wizards,WAS,2016
28,0.418,67,0,0.0,1,11,26,2,37,28,0.412,68,5,0.385,13,29,0,218,20,53,61,8,15,57,0.412,Washington,DeJuan Blair,Wizards,WAS,2016
9,0.409,22,12,0.324,37,14,33,1,26,21,0.356,59,11,0.733,15,13,0,192,1,25,65,4,2,27,0.458,Washington,Alan Anderson,Wizards,WAS,2016
5,0.278,18,15,0.319,47,5,24,1,21,20,0.308,65,8,1.0,8,26,0,147,2,5,63,5,1,23,0.423,Washington,Jarell Eddie,Wizards,WAS,2016
25,0.556,45,0,0.0,1,7,27,2,28,25,0.543,46,19,0.432,44,15,0,131,17,12,69,5,9,45,0.543,Washington,J.J. Hickson,Wizards,WAS,2016
4,0.571,7,0,0.0,0,0,31,1,4,4,0.571,7,0,0.0,0,5,3,48,7,4,8,0,3,11,0.571,Washington,Ryan Hollins,Wizards,WAS,2016
386,0.459,841,182,0.371,490,421,25,39,301,568,0.427,1331,371,0.847,438,81,81,2885,56,111,1689,126,171,357,0.495,Charlotte,Kemba Walker,Hornets,CHO,2016
233,0.492,474,139,0.348,399,403,27,43,373,372,0.426,873,163,0.849,192,70,70,2448,55,114,1046,65,205,428,0.506,Charlotte,Nicolas Batum,Hornets,CHO,2016
186,0.504,369,152,0.402,378,110,29,77,394,338,0.452,747,120,0.833,144,81,81,2338,127,133,948,58,62,521,0.554,Charlotte,Marvin Williams,Hornets,CHO,2016
224,0.446,502,76,0.336,226,235,27,42,211,300,0.412,728,238,0.815,292,78,13,2048,42,165,914,58,150,253,0.464,Charlotte,Jeremy Lin,Hornets,CHO,2016
230,0.539,427,1,0.1,10,71,23,63,317,231,0.529,437,175,0.754,232,73,60,1774,138,204,638,57,68,455,0.53,Charlotte,Cody Zeller,Hornets,CHO,2016
147,0.455,323,68,0.337,202,98,22,43,266,215,0.41,525,108,0.73,148,81,3,1708,69,126,606,38,58,335,0.474,Charlotte,Frank Kaminsky,Hornets,CHO,2016
174,0.529,329,56,0.309,181,77,23,30,208,230,0.451,510,64,0.727,88,66,0,1227,44,105,580,42,50,252,0.506,Charlotte,Jeremy Lamb,Hornets,CHO,2016
245,0.485,505,0,0.0,0,70,31,41,244,245,0.485,505,72,0.649,111,47,18,1096,57,117,562,30,34,301,0.485,Charlotte,Al Jefferson,Hornets,CHO,2016
86,0.422,204,38,0.373,102,109,27,27,193,124,0.405,306,54,0.831,65,57,6,1035,51,111,340,22,58,244,0.467,Charlotte,Spencer Hawes,Hornets,CHO,2016
45,0.433,104,54,0.314,172,29,23,7,110,99,0.359,276,34,0.81,42,48,43,938,18,106,286,24,24,128,0.457,Charlotte,P.J. Hairston,Hornets,CHO,2016
67,0.475,141,31,0.392,79,60,30,12,77,98,0.445,220,23,0.885,26,28,28,845,10,55,250,33,23,87,0.516,Charlotte,Courtney Lee,Hornets,CHO,2016
30,0.462,65,59,0.484,122,21,24,3,50,89,0.476,187,5,0.556,9,43,0,476,7,40,242,11,24,57,0.634,Charlotte,Troy Daniels,Hornets,CHO,2016
30,0.441,68,2,0.667,3,8,30,7,49,32,0.451,71,38,0.585,65,44,0,343,40,55,104,12,12,89,0.465,Charlotte,Tyler Hansbrough,Hornets,CHO,2016
42,0.477,88,9,0.333,27,38,30,1,25,51,0.443,115,34,0.919,37,30,0,333,4,23,145,7,16,29,0.483,Charlotte,Brian Roberts,Hornets,CHO,2016
30,0.556,54,3,0.429,7,9,22,3,33,33,0.541,61,20,0.69,29,7,7,205,12,9,89,3,8,45,0.566,Charlotte,Michael Kidd-Gilchrist,Hornets,CHO,2016
2,0.222,9,3,0.3,10,2,21,0,11,5,0.263,19,5,0.417,12,21,0,93,4,10,18,6,4,15,0.342,Charlotte,Aaron Harrison,Hornets,CHO,2016
6,0.667,9,0,0.0,2,17,27,0,7,6,0.545,11,10,0.909,11,12,0,63,0,3,22,3,6,7,0.545,Charlotte,Jorge Gutiérrez,Hornets,CHO,2016
427,0.512,834,74,0.319,232,265,30,139,534,501,0.47,1066,309,0.757,408,81,81,2647,198,237,1385,147,191,732,0.505,Atlanta,Paul Millsap,Hawks,ATL,2016
441,0.557,792,88,0.344,256,263,29,121,448,529,0.505,1048,103,0.798,129,82,82,2631,148,163,1249,68,107,596,0.547,Atlanta,Al Horford,Hawks,ATL,2016
110,0.502,219,158,0.398,397,164,34,35,246,268,0.435,616,45,0.833,54,80,80,2401,14,161,739,60,98,260,0.563,Atlanta,Kyle Korver,Hawks,ATL,2016
324,0.454,713,110,0.4,275,470,27,24,181,434,0.439,988,261,0.837,312,79,78,2255,33,167,1239,97,218,214,0.495,Atlanta,Jeff Teague,Hawks,ATL,2016
211,0.502,420,109,0.357,305,171,26,38,351,320,0.441,725,123,0.815,151,75,68,2083,28,176,872,98,138,379,0.517,Atlanta,Kent Bazemore,Hawks,ATL,2016
146,0.589,248,42,0.339,124,107,31,37,282,188,0.505,372,62,0.626,99,75,11,1758,52,109,480,85,68,334,0.562,Atlanta,Thabo Sefolosha,Hawks,ATL,2016
252,0.465,542,77,0.322,239,349,22,9,179,329,0.421,781,144,0.791,182,80,6,1621,25,138,879,70,183,204,0.471,Atlanta,Dennis Schröder,Hawks,ATL,2016
114,0.523,218,62,0.392,158,78,27,17,153,176,0.468,376,50,0.794,63,75,0,1146,53,102,464,25,42,206,0.551,Atlanta,Mike Scott,Hawks,ATL,2016
66,0.537,123,48,0.338,142,51,23,7,79,114,0.43,265,50,0.893,56,51,1,864,7,48,326,21,23,86,0.521,Atlanta,Tim Hardaway,Hawks,ATL,2016
81,0.529,153,0,0.0,2,30,31,12,75,81,0.523,155,39,0.813,48,36,2,579,45,71,201,20,24,120,0.523,Atlanta,Tiago Splitter,Hawks,ATL,2016
64,0.566,113,12,0.308,39,34,24,27,79,76,0.5,152,31,0.795,39,60,0,565,38,72,195,13,27,117,0.539,Atlanta,Mike Muscala,Hawks,ATL,2016
16,0.516,31,12,0.245,49,39,24,2,46,28,0.35,80,16,0.727,22,35,0,395,4,45,84,9,23,50,0.425,Atlanta,Lamar Patterson,Hawks,ATL,2016
39,0.557,70,8,0.258,31,13,30,7,51,47,0.465,101,32,0.711,45,21,0,295,20,44,134,10,14,71,0.505,Atlanta,Kris Humphries,Hawks,ATL,2016
14,0.5,28,10,0.222,45,11,26,4,23,24,0.329,73,5,0.5,10,26,1,263,4,21,63,13,13,27,0.397,Atlanta,Justin Holiday,Hawks,ATL,2016
36,0.529,68,4,0.148,27,38,25,0,20,40,0.421,95,9,0.75,12,24,0,179,2,7,93,8,14,22,0.442,Atlanta,Shelvin Mack,Hawks,ATL,2016
1,0.2,5,1,0.167,6,14,35,1,11,2,0.182,11,0,0.0,0,11,0,76,1,1,5,2,3,12,0.227,Atlanta,Kirk Hinrich,Hawks,ATL,2016
11,0.579,19,0,0.0,0,3,23,6,14,11,0.579,19,3,0.375,8,11,0,73,7,8,25,1,5,21,0.579,Atlanta,Edy Tavares,Hawks,ATL,2016
254,0.543,468,105,0.354,297,147,21,18,166,359,0.469,765,109,0.82,133,76,76,2439,54,143,932,97,98,220,0.538,Denver,Gary Harris,Nuggets,DEN,2016
313,0.476,658,112,0.345,325,203,25,39,417,425,0.432,983,216,0.806,268,82,1,2353,59,147,1178,71,139,476,0.489,Denver,Will Barton,Nuggets,DEN,2016
255,0.379,673,74,0.319,232,372,19,35,200,329,0.364,905,140,0.67,209,68,66,2068,32,141,872,65,217,232,0.404,Denver,Emmanuel Mudiay,Nuggets,DEN,2016
200,0.434,461,87,0.364,239,135,27,19,229,287,0.41,700,375,0.868,432,53,53,1839,52,87,1036,42,77,281,0.472,Denver,Danilo Gallinari,Nuggets,DEN,2016
279,0.541,516,28,0.333,84,189,20,50,379,307,0.512,600,154,0.811,190,80,55,1733,181,208,796,79,104,560,0.535,Denver,Nikola Jokić,Nuggets,DEN,2016
348,0.558,624,1,0.5,2,79,26,60,346,349,0.558,626,136,0.613,222,67,64,1694,235,169,835,32,91,581,0.558,Denver,Kenneth Faried,Nuggets,DEN,2016
176,0.473,372,45,0.385,117,96,27,48,207,221,0.452,489,40,0.755,53,70,16,1516,86,185,527,53,66,293,0.498,Denver,Darrell Arthur,Nuggets,DEN,2016
